id	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	country-id	cname1	place-es	place-en	lat	lng		place-cd	date	year	decade	cname1-lang	crole4-es	crole4-en	cname5	cname5-lang	crole5-es	crole5-en	cname6	cname6-lang	crole6-es	crole6-en	cname7	cname7-lang	crole7-es	crole7-en	cname8	cname8-lang	crole8-es	crole8-en	cname9	cname9-lang	crole9-es	crole9-en	cname10	cname10-lang	crole10-es	crole10-en	cname11	cname11-lang	crole11-es	crole11-en	cname12	cname12-lang	crole12-es	crole12-en	pname1	prole1-es	prole1-en	pname2	prole2-es	prole2-en	pname3	prole3-es	prole3-en	format-spa	format-eng	format-uri	place-es	place-en	lat	lng	place-cd	date	year	decade	undated-es	undated-en	lang1-es	lang1-en	lang1-cd	lang1-uri	lang2-es	lang2-en	lang2-cd	lang2-uri	lang3-es	lang3-en	lang3-cd	lang3-uri	lang4-es	lang4-en	lang4-cd	lang4-uri	extent-cm	pages	condition-es	condition-en	content	content-lang	merge	file path	sub-cname1	sub-cname1-lang	sub-cname2	sub-cname2-lang	sub-cname3	sub-cname3-lang	sub-cname4	sub-cname4-lang	sub-cname5	sub-cname5-lang	sub-cname6	sub-cname6-lang	sub-cname7	sub-cname7-lang	sub-cname8	sub-cname8-lang	sub-cname9	sub-cname9-lang	sub-cname10	sub-cname10-lang	sub-cname11	sub-cname11-lang	sub-cname12	sub-cname12-lang	sub-pname1	sub-pname2	sub-pname3	sub-pname4	sub-pname5	sub-pname6	sub-pname7	sub-pname8	sub-pname9	sub-pname10	sub-pname11	sub-pname12	sub-pname13	sub-pname14	sub-pname15	sub-pname16	sub-pname17	sub-pname18	sub-pname19	sub-pname20	sub-pname21	sub-pname22	sub-pname23	sub-pname24	sub-pname25	sub-pname26	sub-pname27	sub-pname28	sub-pname29	sub-pname30	sub-pname31	sub-pname32	sub-pname33	sub-pname34	sub-pname35	sub-pname36	sub-pname37	sub-pname38	sub-pname39	sub-pname40	sub-pname41	sub-pname42	sub-pname43	sub-pname44	hgeo1-sec-es	hgeo1-sec-en	hgeo1-sec-uri	hgeo1-city-es	hgeo1-city-en	hgeo1-city-uri	hgeo1-muni-es	hgeo1-muni-en	hgeo1-muni-uri	hgeo1-dept-es	hgeo1-dept-en	hgeo1-dept-uri	hgeo1-pais-es	hgeo1-pais-en	hgeo1-pais-uri	hgeo2-city-es	hgeo2-city-en	hgeo2-city-uri	hgeo2-muni-es	hgeo2-muni-en	hgeo2-dept-es	hgeo2-dept-en	hgeo2-dept-uri	hgeo2-pais-es	hgeo2-pais-en	hgeo2-pais-uri	hgeo3-city-es	hgeo3-city-en	hgeo3-city-uri	hgeo3-dept-es	hgeo3-dept-en	hgeo3-dept-uri	hgeo3-pais-es	hgeo3-pais-en	hgeo3-pais-uri	hgeo4-city-es	hgeo4-city-en	hgeo4-city-uri	hgeo4-dept-es	hgeo4-dept-en	hgeo4-dept-uri	hgeo4-pais-es	hgeo4-pais-en	hgeo4-pais-uri	hgeo5-pais-es	hgeo5-pais-en	hgeo5-pais-uri	subj-geo-es	subj-geo-en	collect-es	collect-en
mupi_afiches_m24_0166.jpg	243	42.2302	89	63.9619	29	55.1766	21		Venezuela	Venezuela	6.42375	-66.58973		VE																																																Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Venezuela	Venezuela	6.42375	-66.58973	VE				sin fecha	undated	Español	Spanish	spa	http://id.loc.gov/vocabulary/iso639-2/spa													47.3x65				No sientan tristeza niños de El Salvador … En el cantar de las aves les mandamos nuestro amor.	spa	TRUE	MUPI\mupi3_20151110\afiches\mupi_afiches_M_0166																																																																																	Venezuela	Venezuela	viaf.org/viaf/275556947																																			"Serie MUPI, Carpeta 24"	"Series MUPI, Folder 24"
mupi_afiches_m24_0167.jpg	247	75.5307	0	33.6781	0	64.3526	21	"Federación de Centros Universitarios, Universidad De Oriente - FCU-UDO"	Venezuela	Venezuela	6.42375	-66.58973		VE	1985	1985	1980	spa																																			J. Chuo Galindo	diseñador gráfico	graphic designer							Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Venezuela	Venezuela	6.42375	-66.58973	VE	1985	1985	1980			Español	Spanish	spa	http://id.loc.gov/vocabulary/iso639-2/spa													41.8x61.6		Afiche tiene información en ambos lados.	Poster has information on both sides.	Si se calla el cantor calla la vida. ADIOS en dolor mayor.	spa	TRUE	MUPI\mupi3_20151110\afiches\mupi_afiches_M_0167	"Federación de Centros Universitarios, Universidad De Oriente - FCU-UDO"	spa																							Alí Primera																																															Ciudad Bolívar	Ciudad Bolivar	http://viaf.org/viaf/145137622				Bolívar	Bolivar	viaf.org/viaf/129030242	Venezuela	Venezuela	viaf.org/viaf/275556947																																			"Serie MUPI, Carpeta 24"	"Series MUPI, Folder 24"
mupi_afiches_m02_0009.jpg	117	57.4567	25	44.1457	49	116.2028	20		Suiza	Switzerland	46.818188	8.227512		CH																																																Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Suiza	Switzerland	46.818188	8.227512	CH				sin fecha	undated	Alemán	German	ger	http://id.loc.gov/vocabulary/iso639-2/ger													29.4x41.9				Zwei filme von seltener intensitat.	ger	FALSE	MUPI\mupi1\afiches\mupi_afiches_M_0009																																																																																																																						"Serie MUPI, Carpeta 2"	"Series MUPI, Folder 2"
mupi_afiches_m14_0096.jpg	182	89.0599	138	73.9686	42	81.657	19	El Salvador and Guatemala Committees for Human Rights	Reino Unido	United Kingdom	55.3781	-3.435973		GB	1988	1988	1980	eng																																			Ken Meharg	diseñador gráfico	graphic designer							Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Reino Unido	United Kingdom	55.3781	-3.435973	GB	1988	1988	1980			Inglés	English	eng	http://id.loc.gov/vocabulary/iso639-2/eng													43.3x60				Ilustración del mapa de Centroamérica y distintas maneras de violación de los derechos humanos.	spa	TRUE	MUPI\mupi3_20151110\afiches\mupi_afiches_M_0096																																																																								Londres	London	http://viaf.org/viaf/261467287							Reino Unido	Great Britain	viaf.org/viaf/127756949									Guatemala	Guatemala	viaf.org/viaf/133607895																								"Serie MUPI, Carpeta 14"	"Series MUPI, Folder 14"
mupi_afiches_m01_0006.jpg	228	16.023	0	27.4959	0	58.89	18	"Comité Puertorriqueño de Solidaridad con El Salvador y Nicaragua, Universidad de Puerto Rico Cayey"	Puerto Rico	Puerto Rico	18.220833	-66.590149		PR				spa																																												Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Puerto Rico	Puerto Rico	18.220833	-66.590149	PR				sin fecha	undated	Español	Spanish	spa	http://id.loc.gov/vocabulary/iso639-2/spa													21.7x35.6				"Visita de Carlos Henriquez Consalvi ""Santiago"" voz de Radio Venceremos al Colegio Universitario de Cayey."	spa	FALSE	MUPI\mupi1\afiches\mupi_afiches_M_0006	Radio Venceremos	spa																							Carlos Henríquez Consalvi																																																																																													"Serie MUPI, Carpeta 1"	"Series MUPI, Folder 1"
mupi_afiches_m06_0037.jpg	131	61.0076	0	41.4588	0	51.4998	17	El Salvador Komitee Rotterdam	Pases Bajos	Netherlands	52.132633	5.291266		NL	4/4/81	1981	1980	dut																																												Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Países Bajos	Netherlands	52.132633	5.291266	NL	4/4/81	1981	1980			Holandés	Dutch	dut	http://id.loc.gov/vocabulary/iso639-2/dut													41x60.8				Foto de personas cargando un ataud.	spa	TRUE	MUPI\mupi2_20150904\mupi_afiches_m_0037																																																																																	Estados Unidos	United States	viaf.org/viaf/130168302	Rotterdam	Rotterdam	viaf.org/viaf/123139768						Países Bajos	Netherlands	viaf.org/viaf/156652814																								"Serie MUPI, Carpeta 6"	"Series MUPI, Folder 6"
mupi_afiches_m06_0041.jpg	182	66.4592	0	82.0154	0	64.3476	17	Organisatie El Salvador Kommité Amsterdam	Pases Bajos	Netherlands	52.132633	5.291266		NL				dut																																												Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Países Bajos	Netherlands	52.132633	5.291266	NL				sin fecha	undated	Holandés	Dutch	dut	http://id.loc.gov/vocabulary/iso639-2/dut													41.1x59.3				Dibujo de un hombre controlando un títere que amenaza con matar a otra persona.	spa	TRUE	MUPI\mupi2_20150904\mupi_afiches_m_0041																																																																																	Estados Unidos	United States	viaf.org/viaf/130168302	Ámsterdam	Amsterdam	viaf.org/viaf/158212776						Países Bajos	Netherlands	viaf.org/viaf/156652814																								"Serie MUPI, Carpeta 6"	"Series MUPI, Folder 6"
mupi_afiches_m07_0043.jpg	209	49.0099	0	33.9436	0	57.2885	17	Stichting LETTERS	Pases Bajos	Netherlands	52.132633	5.291266		NL				dut																																												Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Países Bajos	Netherlands	52.132633	5.291266	NL				sin fecha	undated	Holandés	Dutch	dut	http://id.loc.gov/vocabulary/iso639-2/dut													44.5x67.3				Aparecen letras en rojo y líneas.	spa	TRUE	MUPI\mupi2_20150904\mupi_afiches_m_0043																																																																																																																						"Serie MUPI, Carpeta 7"	"Series MUPI, Folder 7"
mupi_afiches_m07_0044.jpg	228	49.5732	0	22.9008	0	107.8182	17		Pases Bajos	Netherlands	52.132633	5.291266		NL																																																Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Países Bajos	Netherlands	52.132633	5.291266	NL				sin fecha	undated	Holandés	Dutch	dut	http://id.loc.gov/vocabulary/iso639-2/dut													46.5x66.8				Imagen de personas huyendo a refugiarse en Honduras.	spa	TRUE	MUPI\mupi2_20150904\mupi_afiches_m_0044																																																																																	Honduras	Honduras	viaf.org/viaf/124882522																																			"Serie MUPI, Carpeta 7"	"Series MUPI, Folder 7"
mupi_afiches_m13_0085.jpg	223	45.7837	204	80.0896	136	75.0624	17	El Salvador Comité	Pases Bajos	Netherlands	52.132633	5.291266		NL				spa																																			Lies Ros	diseñador gráfico	graphic designer	Rob Schroder	diseñador gráfico	graphic designer	Frank Beekers	diseñador gráfico	graphic designer	Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Países Bajos	Netherlands	52.132633	5.291266	NL				sin fecha	undated	Holandés	Dutch	dut	http://id.loc.gov/vocabulary/iso639-2/dut													42.4x60		Daños menores.	Minor damage.	VS handen af van Midden-Amerika.	dut	TRUE	MUPI\mupi3_20151110\afiches\mupi_afiches_M_0085																									Ronald Reagan																																															Ámsterdam	Amsterdam	http://viaf.org/viaf/158212776							Países Bajos	Netherlands	viaf.org/viaf/156652814																																			"Serie MUPI, Carpeta 13"	"Series MUPI, Folder 13"
mupi_afiches_m14_0095.jpg	231	80.4769	3	66.9393	42	82.1204	17		Pases Bajos	Netherlands	52.132633	5.291266		NL																																							Jehanne van Woerkom	diseñador gráfico	graphic designer							Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Países Bajos	Netherlands	52.132633	5.291266	NL				sin fecha	undated	Español	Spanish	spa	http://id.loc.gov/vocabulary/iso639-2/spa	Holandés	Dutch	dut	http://id.loc.gov/vocabulary/iso639-2/dut									48x68				"Collages Jehanne van Woerkom, Libertad a los presos desaparecidos."	spa	TRUE	MUPI\mupi3_20151110\afiches\mupi_afiches_M_0095																									Jehanne van Woerkom																																																																																													"Serie MUPI, Carpeta 14"	"Series MUPI, Folder 14"
mupi_afiches_m14_0097.jpg	149	83.5503	74	61.1622	145	94.811	17		Pases Bajos	Netherlands	52.132633	5.291266		NL																																							Jehanne van Woerkom	diseñador gráfico	graphic designer							Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Países Bajos	Netherlands	52.132633	5.291266	NL				sin fecha	undated	Español	Spanish	spa	http://id.loc.gov/vocabulary/iso639-2/spa	Holandés	Dutch	dut	http://id.loc.gov/vocabulary/iso639-2/dut									40x60				Mon. vive en el corazón del pueblo BPR.	spa	TRUE	MUPI\mupi3_20151110\afiches\mupi_afiches_M_0097	Bloque Popular Revolucionario - BPR	spa																							Óscar Arnulfo Romero																																																																																													"Serie MUPI, Carpeta 14"	"Series MUPI, Folder 14"
mupi_afiches_m15_0101.jpg	99	72.8595	109	78.8689	29	116.955	17	Nicaragua Komitee	Pases Bajos	Netherlands	52.132633	5.291266		NL				dut																																			Koen Wessing	fotógrafo	photographer	Carel Kuitenbrower	diseñador gráfico	graphic designer				Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Países Bajos	Netherlands	52.132633	5.291266	NL				sin fecha	undated	Holandés	Dutch	dut	http://id.loc.gov/vocabulary/iso639-2/dut													42x62.5				Apoyar la reconstrucción.	spa	TRUE	MUPI\mupi3_20151110\afiches\mupi_afiches_M_0101																																																																																	Nicaragua	Nicaragua	viaf.org/viaf/140638485																																			"Serie MUPI, Carpeta 15"	"Series MUPI, Folder 15"
mupi_afiches_m18_0126.jpg	233	44.7981	54	34.3382	22	17.2312	17	El Salvador Komitee Nederland	Pases Bajos	Netherlands	52.132633	5.291266		NL				dut																																												Afiches	Posters	http://id.loc.gov/vocabulary/graphicMaterials/tgm008006	Países Bajos	Netherlands	52.132633	5.291266	NL				sin fecha	undated	Español	Spanish	spa	http://id.loc.gov/vocabulary/iso639-2/spa	Holandés	Dutch	dut	http://id.loc.gov/vocabulary/iso639-2/dut									29.5x40.9				Steun het volksverzet FMLN-FDR.	dut	FALSE	MUPI\mupi3_20151110\afiches\mupi_afiches_M_0126	Frente Farabundo Martí para la Liberación Nacional - FMLN	spa	Frente Democrático Revolucionario - FDR	spa																					Agustín Farabundo Martí	Óscar Arnulfo Romero	Salvador Cayetano Carpio																																																																																											"Serie MUPI, Carpeta 18"	"Series MUPI, Folder 18"
